,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
541,Medlow Bath,Great Western,Hwy,Stairs,-33.67295305,150.2803919,
543,Menangle,Stevens,Rd,Path,-34.12585573,150.7440669,
545,Menangle Park,Racecourse,Rd,Ramp,-34.10338507,150.74495090000002,
556,Merrylands,Terminal,Pl,Stairs,-33.83705075,150.9918377,
558,Metford,McCubbin ,Cl,Lift,-32.76536099,151.6181329,
560,Milsons Point,Alfred,St,Path,-33.84594618,151.21171950000002,
561,Mindaribba,Tocal,Rd,Ramp,-32.66835055,151.5845537,
562,Minnamurra,North,St,Ramp,-34.62633044,150.85300980000002,
568,Minto,Somerset,St,Ramp,-34.02769333,150.8422318,
570,Miranda,Kiora,Rd,Ramp,-34.036075,151.1019708,
572,Mittagong,Regent,St,Stairs,-34.45240354,150.4483624,
578,Morisset,Dora,St,Ramp,-33.10895092,151.4878847,
582,Mortdale,Cook,Lane,Stairs,-33.97116587,151.0808093,
584,Moss Vale,Lackey,Rd,Path,-34.54759291,150.3718707,
585,Mount Colah,Pacific,Hwy,Stairs,-33.67129214,151.11509819999998,
596,Mount Druitt,North,Pde,Stairs,-33.76883389,150.8195934,
599,Mount Kurring-gai,Pacific,Hwy,Ramp,-33.65376948,151.13656830000002,
601,Mount Victoria,Station,St,Stairs,-33.58817529,150.256825,
602,Mulgrave,Mulgrave,Rd,Ramp,-33.62649899,150.8298983,
609,Museum,Liverpool,St,Stairs,-33.87669845,151.2091949,
612,Muswellbrook,Market,St,Stairs,-32.26742612,150.8904619,
615,Narara,Narara Valley,Dr,Path,-33.39460601,151.3444151,
617,Narwee,Hurst,Pl,Path,-33.94783139,151.07064419999998,
621,Newcastle Interchange,Cooper,St,Path,-32.92445674,151.7589509,
623,Newtown,King,St,Ramp,-33.89787696,151.1788814,
625,Niagara Park,Washington,Ave,Stairs,-33.3830702,151.3544041,
627,Normanhurst,Malsbury,Rd,Path,-33.72064788,151.0969021,
629,North Ryde,Delhi,Rd,Escalators,-33.79451462,151.1379238,
631,North Strathfield,Hamilton,St,Ramp,-33.8597069,151.08820749999998,
633,North Sydney,Blue,St,Path,-33.84100344,151.2073747,
639,North Wollongong,Porter,St,Stairs,-34.41230685,150.89124819999998,
640,Noth Strathfield,Pomeroy,St,Ramp,-33.85755734,151.0873986,
643,Oak Flats,Stanford,Dr,Ramp,-34.57173048,150.8202085,
646,Oatley,Mulga,Rd,Lift,-33.980259000000004,151.0787615,
659,Olympic Park,Showground,Rd,Path,-33.84698401,151.0682717,
662,Otford,Station,Rd,Stairs,-34.21109272,151.0055047,
666,Ourimbah,Station,St,Path,-33.35937321,151.3697352,
668,Paddy's Markets,Hay,St,Path,-33.87933704,151.2026206,
673,Padstow,Memorial,Dr,Stairs,-33.95170664,151.0319304,
675,Panania,Weston,St,Ramp,-33.95440402,150.998267,
684,Parramatta,Liverpool-Parramatta,T-way,Stairs,-33.817204600000004,151.00444330000002,
685,Paterson,Main,St,Stairs,-32.60237058,151.6147645,
689,Pendle Hill,Joyce,St,Path,-33.80130891,150.95585060000002,
695,Pennant Hills,Yarrara,Rd,Lift,-33.73786579,151.07249869999998,
700,Penrith,Jane,St,Stairs,-33.75018886,150.6961967,
702,Penrose,Kareela,Rd,Path,-34.6721605,150.212086,
706,Penshurst,Bridge,Rd,Lift,-33.96609707,151.08866819999997,
708,Petersham,Terminus,St,Stairs,-33.8936064,151.1555418,
712,Picton,Station,St,Lift,-34.17921166,150.61266469999998,
715,Point Clare,Brisbane Water,Dr,Ramp,-33.44621399,151.3282199,
716,Port Kembla,Old Port,Rd,Ramp,-34.47718852,150.90285669999997,
718,Port Kembla North,Flinders,St,Stairs,-34.47312925,150.8870415,
720,Punchbowl,The Boulevarde,,Stairs,-33.92556758,151.0555716,
722,Pymble,Pacific,Hwy,Stairs,-33.74498339,151.1421989,
723,Pyrmont Bay LR,Murray,St,Path,-33.869535,151.197707,
727,Quakers Hill,Railway,Pde,Stairs,-33.72721417,150.88588719999998,
730,Redfern,Marian,St,Stairs,-33.89270463,151.1981812,
733,Regents Park,Park,Rd,Ramp,-33.88324672,151.02370080000003,
737,Revesby,Blamey,St,Lift,-33.95273626,151.01523269999998,
741,Rhodes,Walker,St,Stairs,-33.83064015,151.0868216,
743,Richmond,E Market,St,Ramp,-33.5988545,150.7522539,
746,Riverstone,Riverstone,Pde,Path,-33.67905167,150.86044009999998,
748,Riverwood,Belmore,Rd,Stairs,-33.95160087,151.0525497,
753,Rockdale,Railway,St,Stairs,-33.95221004,151.1362805,
757,Rooty Hill,Rooty Hill North,Rd,Ramp,-33.77124814,150.8438721,
760,Rosehill,James Ruse,Dr,Ramp,-33.82308432,151.02181519999996,
762,Roseville,Pacific,Hwy,Ramp,-33.78467979999999,151.177749,
765,Rozelle Bay LR,The Crescent,,Stairs,-33.8717488,151.1728699,
766,Rydalmere,Brodie,St,Path,-33.81015641,151.02947969999997,
767,Sandgate,Astra,St,Stairs,-32.87279417,151.7028016,
769,Scarborough,Railway,Ave,Stairs,-34.26551615,150.9651941,
774,Schofields,Bridge,St,Stairs,-33.7043178,150.8735269,
775,Scone,Susan,St,Path,-32.04670656,150.86707280000002,
779,Sefton,Wellington,Rd,Stairs,-33.88543207,151.01162209999998,
784,Seven Hills,The Hills,Cres,Ramp,-33.77452,150.93543200000002,
788,Shellharbour,Piper,Dr,Stairs,-34.59128718,150.8446519,
791,Singleton,Munro,St,Path,-32.57183342,151.1654861,
794,Springwood,Station,St,Ramp,-33.69896475,150.5633045,
798,St James,Elizabeth,St,Stairs,-33.87074951,151.2104486,
804,St Leonards,Herbert,St,Lift,-33.82243079,151.1933676,
808,St Marys,Station,St,Stairs,-33.76231824,150.774872,
810,St Peters,Lord,St,Path,-33.90694267,151.18064950000002,
812,Stanmore,Trafalgar,St,Ramp,-33.89467603,151.1641571,
814,Stanwell Park,Railway,Cres,Stairs,-34.22614425,150.98100459999998,
818,Strathfield,Albert,Rd,Ramp,-33.87185964,151.0938299,
823,Summer Hill,Carlton,Cres,Ramp,-33.89043171,151.13861550000001,
827,Sutherland,East,Pde,Ramp,-34.03183438,151.05690980000003,
829,Sydenham,Gleeson,Ave,Path,-33.914863399999994,151.16604719999998,
831,Tahmoor,Pitt,St,Path,-34.22346581,150.58983080000002,
832,Tallong,Railway,Pde,Path,-34.71837568,150.08609280000002,
834,Tarro,Woodberry ,Rd,Stairs,-32.80889516,151.66937280000002,
838,Tascott,Glenrock,Pde,Stairs,-33.45094989,151.3183448,
842,Taverners Hill LR,Parramatta ,Rd,Stairs,-33.8898685,151.1450731,
844,Telarah,Johnson,St,Stairs,-32.72337822,151.53988590000003,
849,Telopea,Adderton,Rd,Stairs,-33.79411509,151.04119540000002,
853,Tempe,Richardson,Cres,Stairs,-33.92389629,151.1563979,
856,Teralba,Railway,St,Stairs,-32.96216248,151.60364189999999,
857,The Star LR,Pirrama,Rd,Path,-33.867270899999994,151.1957096,
861,Thirroul,Railway,Pde,Stairs,-34.31795869,150.9188517,
864,Thornleigh,The Esplanade,,Stairs,-33.73180916,151.07811830000003,
866,Thornton,Karuah ,St,Lift,-32.78356119,151.6399551,
868,Toongabbie,Portice,Pde,Ramp,-33.78714281,150.9511669,
877,Town Hall,Kent,St,Path,-33.87346213,151.20567590000002,5.0
879,Towradgi,Towradgi,Rd,Ramp,-34.38412652,150.90135859999998,
883,Tuggerah,Pacific,Hwy,Stairs,-33.30767799,151.4200382,
885,Turramurra,William,St,Path,-33.73287787,151.128659,
886,Turrella,Reede,St,Stairs,-33.92977422,151.1404283,
888,Unanderra,Berkeley,Rd,Stairs,-34.45480327,150.8454954,
891,Valley Heights,Great Western,Hwy,Stairs,-33.70414867,150.5836892,
893,Victoria Street,Victoria,St,Stairs,-32.7511242,151.59379619999999,
895,Villawood,River,Ave,Stairs,-33.88074082,150.9773471,
896,Vineyard,Bandon,Rd,Ramp,-33.65018802,150.85106299999998,
897,Wahroonga,Redleaf,Ave,Stairs,-33.71800187,151.11751850000002,
899,Waitara,Waitara,Ave,Stairs,-33.71065655,151.10491530000002,
900,Wallarobba,Wallarobba Brookfield,Rd,Ramp,-32.49615032,151.69569209999997,
902,Warabrook,Ring,Rd,Ramp,-32.88848678,151.709521,
904,Waratah,Platt,St,Stairs,-32.902353999999995,151.7310238,
906,Waratah Mills LR,Weston,St,Path,-33.8988126,151.13986469999998,
908,Warnervale,Warnervale,Rd,Path,-33.24713278,151.4488456,
910,Warrawee,Heydon,Ave,Path,-33.72454128,151.1217229,
915,Warrimoo,Great Western,Hwy,Stairs,-33.72204408,150.6025654,
919,Warwick Farm,Remembrance,Ave,Stairs,-33.91347354,150.9349611,
920,Waterfall,Kooraban,St,Ramp,-34.13517267,150.994605,
922,Waverton,Bay,Rd,Path,-33.83761043,151.1973366,
924,Wentworth Falls,Station,St,Stairs,-33.70952535,150.3761198,
926,Wentworth Park LR,Wattle,St,Ramp,-33.87506758,151.1935385,
930,Wentworthville,The Kingsway,,Ramp,-33.80706875,150.9718275,
934,Werrington,Railway,St,Lift,-33.75920751,150.7574014,
939,West Ryde,West,Pde,Stairs,-33.807467700000004,151.0899608,
943,Westmead,Alexandria,Ave,Ramp,-33.80864182,150.98765769999997,
945,Wiley Park,King Georges ,Rd,Ramp,-33.92270486,151.0680185,
947,Windsor,Cox,St,Path,-33.61292723,150.80902959999997,
949,Wingello,Sydney,St,Path,-34.69201661,150.15820580000002,
950,Wirragula,Dungog,Rd,Ramp,-32.46292679,151.7424687,
954,Wolli,Discovery Point,Pl,Stairs,-33.92882963,151.153842,
962,Wollongong,Railway Staiton,Sq,Ramp,-34.42679193,150.8878175,
966,Wollstonecraft,Milray,Ave,Path,-33.83146743,151.1915732,
968,Wombarra,Morrison,Ave,Stairs,-34.27530416,150.9535083,
969,Wondabyne,Wondabyne Wharf,,Ramp,-33.49202131,151.2571482,
972,Woodford,Great Western,Hwy,Ramp,-33.73526715,150.4808855,
976,Woolooware,Swan,St,Lift,-34.04765603,151.1435849,
979,Woonona,Park,Rd,Ramp,-34.34932926,150.9151104,
983,Woy Woy,Railway,St,Stairs,-33.48597825,151.3232156,
985,Wyee,Gorokan,Rd,Stairs,-33.180164000000005,151.48685659999998,
998,Wynyard,Napoleon,St,Lift,-33.86534132,151.203967,
1002,Wyong,Pacific,Hwy,Stairs,-33.2853225,151.42515869999997,
1003,Yagoona,Hume,Hwy,Path,-33.90733106,151.0246767,
1007,Yennora,Railway,St,Ramp,-33.86502912,150.97071619999997,
1008,Yerrinbool,Old Hume,Hwy,Path,-34.37159251,150.54344809999998,
1009,Zig Zag,Bells,Rd,Stairs,-33.47184198,150.20211940000002,
